sampleId,country,city,collectionDate,lat,long,season,locality,type,continent,set,nFlies,Prefix_filename,SRA_accession,SRA_experiment,year,yday,stationId,dist_km,Continental_clusters
WI_BIO4_S1_140722,US,Arlington,2013-08-30,43.34,-89.41,Summer,WI_BIO4,Pooled,North America,AndyLab_genome,5,Pool19_140722,SRR3190080,SRX1602091,2013,242,USAWI0001,NA,1.Nort_America
WI_BIO4_S1_140725,US,Arlington,2013-08-30,43.34,-89.41,Summer,WI_BIO4,Pooled,North America,AndyLab_genome,5,Pool19_140725,SRR3190080,SRX1602091,2013,242,USAWI0001,NA,1.Nort_America
WI_BIO4_S1_140730,US,Arlington,2013-08-30,43.34,-89.41,Summer,WI_BIO4,Pooled,North America,AndyLab_genome,5,Pool19_140730,SRR3190080,SRX1602091,2013,242,USAWI0001,NA,1.Nort_America
WI_BIO4_S2_140711,US,Arlington,2013-08-31,43.34,-89.41,Summer,WI_BIO4,Pooled,North America,AndyLab_genome,5,Pool20_140711,SRR3190081,SRX1602092,2013,243,USAWI0001,NA,1.Nort_America
WI_BIO4_S2_140722,US,Arlington,2013-08-31,43.34,-89.41,Summer,WI_BIO4,Pooled,North America,AndyLab_genome,5,Pool20_140722,SRR3190081,SRX1602092,2013,243,USAWI0001,NA,1.Nort_America
WI_BIO4_S2_140725,US,Arlington,2013-08-31,43.34,-89.41,Summer,WI_BIO4,Pooled,North America,AndyLab_genome,5,Pool20_140725,SRR3190081,SRX1602092,2013,243,USAWI0001,NA,1.Nort_America
WI_BIO4_S2_140730,US,Arlington,2013-08-31,43.34,-89.41,Summer,WI_BIO4,Pooled,North America,AndyLab_genome,5,Pool20_140730,SRR3190081,SRX1602092,2013,243,USAWI0001,NA,1.Nort_America
WI_BIO4_S3_140711,US,Arlington,2013-09-03,43.34,-89.41,Summer,WI_BIO4,Pooled,North America,AndyLab_genome,5,Pool21_140711,SRR3190082,SRX1602093,2013,246,USAWI0001,NA,1.Nort_America
WI_BIO4_S3_140722,US,Arlington,2013-09-03,43.34,-89.41,Summer,WI_BIO4,Pooled,North America,AndyLab_genome,5,Pool21_140722,SRR3190082,SRX1602093,2013,246,USAWI0001,NA,1.Nort_America
WI_BIO4_S3_140725,US,Arlington,2013-09-03,43.34,-89.41,Summer,WI_BIO4,Pooled,North America,AndyLab_genome,5,Pool21_140725,SRR3190082,SRX1602093,2013,246,USAWI0001,NA,1.Nort_America
WI_BIO4_S3_140730,US,Arlington,2013-09-03,43.34,-89.41,Summer,WI_BIO4,Pooled,North America,AndyLab_genome,5,Pool21_140730,SRR3190082,SRX1602093,2013,246,USAWI0001,NA,1.Nort_America
